variant,radius,alpha,image,GT,PSNR,SSIM,LPIPS
original,0,0,r1148801et.png,r1148801et.png,28.90542851,0.9275897,0.072348915
original,0,0,r116825e2t.png,r116825e2t.png,27.98680989,0.9892068,0.008522501
original,0,0,r11850456t.png,r11850456t.png,29.61672115,0.9815685,0.018534452
original,0,0,r12133015t.png,r12133015t.png,30.93569024,0.9713354,0.059998225
original,0,0,r125034a9t.png,r125034a9t.png,26.37989562,0.9595709,0.030450523
original,0,0,r125442fat.png,r125442fat.png,23.81340824,0.9715498,0.017348757
original,0,0,r127608abt.png,r127608abt.png,19.22993983,0.8058596,0.085295334
original,0,0,r12946364t.png,r12946364t.png,23.08185362,0.9638445,0.0713358
original,0,0,r1301676dt.png,r1301676dt.png,17.86039952,0.80251354,0.149877638
original,0,0,r13073518t.png,r13073518t.png,28.36703108,0.9646893,0.024622837
original,0,0,r1372056ct.png,r1372056ct.png,23.13903972,0.90866286,0.114342265
original,0,0,r13837601t.png,r13837601t.png,15.27270902,0.8489723,0.124046728
original,0,0,r13907965t.png,r13907965t.png,21.70976763,0.9628761,0.031723436
original,0,0,r13928401t.png,r13928401t.png,18.97910723,0.9608464,0.02789033
original,0,0,r141665bdt.png,r141665bdt.png,26.43636975,0.96492475,0.027403114
original,0,0,r141669e5t.png,r141669e5t.png,23.12745349,0.7391746,0.221070364
original,0,0,r1419078bt.png,r1419078bt.png,29.12972423,0.9184914,0.048157409
original,0,0,r142335f0t.png,r142335f0t.png,19.28811415,0.930412,0.067723185
original,0,0,r142787e2t.png,r142787e2t.png,27.78685874,0.97290325,0.017255291
original,0,0,r14289905t.png,r14289905t.png,27.50233323,0.9160445,0.0280814
original,0,0,r145215fft.png,r145215fft.png,29.47983987,0.9785865,0.028508848
original,0,0,r145221d9t.png,r145221d9t.png,20.79224135,0.92385226,0.059652302
original,0,0,r146771d7t.png,r146771d7t.png,25.57871233,0.904839,0.043928087
original,0,0,r150058a4t.png,r150058a4t.png,17.70524054,0.8562544,0.115897141
original,0,0,r15885978t.png,r15885978t.png,26.44514118,0.92991954,0.070496105
original,0,0,r15919202t.png,r15919202t.png,21.26004538,0.96973985,0.023540162
original,0,0,r1602555bt.png,r1602555bt.png,22.86558461,0.94769067,0.059372142
original,0,0,r163317d6t.png,r163317d6t.png,25.15796015,0.9586391,0.033042606
original,0,0,r163967d4t.png,r163967d4t.png,24.59861781,0.9557391,0.025941556
original,0,0,r16422663t.png,r16422663t.png,24.40256725,0.9780707,0.05126223
original,0,0,r16509308t.png,r16509308t.png,19.19065702,0.92060524,0.067878276
original,0,0,r165355c0t.png,r165355c0t.png,27.71380161,0.98307925,0.014593233
original,0,0,r16654024t.png,r16654024t.png,23.22208144,0.8907993,0.042988632
original,0,0,r1683028at.png,r1683028at.png,16.32263534,0.8193869,0.105508879
original,0,0,r1694427et.png,r1694427et.png,12.70306815,0.8524607,0.140443414
original,0,0,r170632f5t.png,r170632f5t.png,25.48245813,0.925255,0.070313416
original,0,0,r17217693t.png,r17217693t.png,25.19695556,0.8693622,0.056907564
original,0,0,r181768b7t.png,r181768b7t.png,16.84240802,0.86641765,0.071917556
original,0,0,r1824034et.png,r1824034et.png,23.22605917,0.97114986,0.038125169
original,0,0,r185929e9t.png,r185929e9t.png,19.13581215,0.91479415,0.116982237
original,0,0,r18791531t.png,r18791531t.png,23.40248169,0.9070535,0.064127505
original,0,0,r18798194t.png,r18798194t.png,24.70139052,0.96694106,0.030558374
original,0,0,r1889220ft.png,r1889220ft.png,23.77868743,0.9082505,0.061208762
original,0,0,r18990432t.png,r18990432t.png,27.65648797,0.967387,0.016525503
original,0,0,r1904147dt.png,r1904147dt.png,24.27391545,0.97166413,0.030628992
original,0,0,r191488c6t.png,r191488c6t.png,26.78925512,0.9913306,0.012872825
original,0,0,r1915909et.png,r1915909et.png,29.33321674,0.96991235,0.05113785
original,0,0,r19183258t.png,r19183258t.png,17.873308,0.963756,0.050620548
original,0,0,r197770adt.png,r197770adt.png,26.44907729,0.8584954,0.194660798
blur_r0p5_a0p2,0.5,0.2,r00816405t.png,r00816405t.png,22.7658479,0.95349073,0.03826135
blur_r0p5_a0p2,0.5,0.2,r00869422t.png,r00869422t.png,19.32160053,0.8390236,0.067054354
blur_r0p5_a0p2,0.5,0.2,r00879054t.png,r00879054t.png,22.94578205,0.9286647,0.05153387
blur_r0p5_a0p2,0.5,0.2,r01058910t.png,r01058910t.png,12.83001885,0.8666847,0.101290569
blur_r0p5_a0p2,0.5,0.2,r01170470t.png,r01170470t.png,30.17608466,0.976444,0.026884753
blur_r0p5_a0p2,0.5,0.2,r01474187t.png,r01474187t.png,22.65326372,0.95771533,0.031348646
blur_r0p5_a0p2,0.5,0.2,r0150031ft.png,r0150031ft.png,23.76840005,0.9702485,0.026370954
blur_r0p5_a0p2,0.5,0.2,r01559391t.png,r01559391t.png,17.377853,0.76155305,0.141923472
blur_r0p5_a0p2,0.5,0.2,r02189767t.png,r02189767t.png,27.50433842,0.91180825,0.061312277
blur_r0p5_a0p2,0.5,0.2,r02354285t.png,r02354285t.png,28.72585472,0.9045394,0.06651593
blur_r0p5_a0p2,0.5,0.2,r02508493t.png,r02508493t.png,25.62702199,0.9635966,0.036836736
blur_r0p5_a0p2,0.5,0.2,r0287344at.png,r0287344at.png,33.61404759,0.98816746,0.011236562
blur_r0p5_a0p2,0.5,0.2,r02897203t.png,r02897203t.png,30.60466718,0.98192424,0.01542454
blur_r0p5_a0p2,0.5,0.2,r03193652t.png,r03193652t.png,19.43373126,0.8767728,0.075289205
blur_r0p5_a0p2,0.5,0.2,r0341853dt.png,r0341853dt.png,21.31270156,0.9387181,0.11162623
blur_r0p5_a0p2,0.5,0.2,r0372042dt.png,r0372042dt.png,27.16042163,0.9384393,0.057171501
blur_r0p5_a0p2,0.5,0.2,r04317453t.png,r04317453t.png,24.87681706,0.9666781,0.046626974
blur_r0p5_a0p2,0.5,0.2,r0465565ct.png,r0465565ct.png,30.85361771,0.9753968,0.029366294
blur_r0p5_a0p2,0.5,0.2,r05243256t.png,r05243256t.png,21.21782291,0.9122017,0.045817278
blur_r0p5_a0p2,0.5,0.2,r05772356t.png,r05772356t.png,22.23521688,0.97193664,0.043888431
blur_r0p5_a0p2,0.5,0.2,r05839451t.png,r05839451t.png,32.73151315,0.97973156,0.009383967
blur_r0p5_a0p2,0.5,0.2,r0589558at.png,r0589558at.png,27.63552501,0.9620536,0.047236498
blur_r0p5_a0p2,0.5,0.2,r0603031et.png,r0603031et.png,24.66910585,0.9061742,0.067930914
blur_r0p5_a0p2,0.5,0.2,r068812d7t.png,r068812d7t.png,21.83387906,0.9080451,0.054588772
blur_r0p5_a0p2,0.5,0.2,r0703243bt.png,r0703243bt.png,31.13485998,0.9871526,0.014716176
blur_r0p5_a0p2,0.5,0.2,r0708431at.png,r0708431at.png,32.0850716,0.948977,0.016469203
blur_r0p5_a0p2,0.5,0.2,r072421a1t.png,r072421a1t.png,22.18127741,0.92997235,0.095809624
blur_r0p5_a0p2,0.5,0.2,r072649fdt.png,r072649fdt.png,28.10614557,0.96407413,0.026949774
blur_r0p5_a0p2,0.5,0.2,r07598392t.png,r07598392t.png,24.79717929,0.9302514,0.067126736
blur_r0p5_a0p2,0.5,0.2,r0773471dt.png,r0773471dt.png,25.57085235,0.94883204,0.044396657
blur_r0p5_a0p2,0.5,0.2,r077507cat.png,r077507cat.png,19.43558525,0.8872953,0.070266485
blur_r0p5_a0p2,0.5,0.2,r08079988t.png,r08079988t.png,22.96487824,0.93058795,0.054771062
blur_r0p5_a0p2,0.5,0.2,r0809811bt.png,r0809811bt.png,29.15537941,0.90593034,0.125675529
blur_r0p5_a0p2,0.5,0.2,r082626aft.png,r082626aft.png,19.98473991,0.80490714,0.128624007
blur_r0p5_a0p2,0.5,0.2,r084889d5t.png,r084889d5t.png,17.88347374,0.89457226,0.110210538
blur_r0p5_a0p2,0.5,0.2,r08788547t.png,r08788547t.png,23.59577641,0.93071383,0.044965461
blur_r0p5_a0p2,0.5,0.2,r08873591t.png,r08873591t.png,30.99325787,0.9409177,0.049665127
blur_r0p5_a0p2,0.5,0.2,r08996953t.png,r08996953t.png,29.46567746,0.988794,0.025961341
blur_r0p5_a0p2,0.5,0.2,r0905697bt.png,r0905697bt.png,22.18758113,0.9542057,0.05861181
blur_r0p5_a0p2,0.5,0.2,r09245347t.png,r09245347t.png,27.77911135,0.8952372,0.07203719
blur_r0p5_a0p2,0.5,0.2,r09445479t.png,r09445479t.png,26.77117525,0.9793307,0.023691092
blur_r0p5_a0p2,0.5,0.2,r09670876t.png,r09670876t.png,33.68626288,0.99058455,0.006952336
blur_r0p5_a0p2,0.5,0.2,r096982ddt.png,r096982ddt.png,22.74591366,0.9657645,0.037757851
blur_r0p5_a0p2,0.5,0.2,r097088c1t.png,r097088c1t.png,30.82206377,0.9640756,0.029206058
blur_r0p5_a0p2,0.5,0.2,r097555c4t.png,r097555c4t.png,23.25011155,0.9716642,0.021469524
blur_r0p5_a0p2,0.5,0.2,r104153eat.png,r104153eat.png,17.52917455,0.9374998,0.064877674
blur_r0p5_a0p2,0.5,0.2,r107730b5t.png,r107730b5t.png,30.48027106,0.9679199,0.031679347
blur_r0p5_a0p2,0.5,0.2,r108301e3t.png,r108301e3t.png,31.08070237,0.9615812,0.037165523
blur_r0p5_a0p2,0.5,0.2,r10893508t.png,r10893508t.png,24.72584187,0.92031604,0.072653435
blur_r0p5_a0p2,0.5,0.2,r10940798t.png,r10940798t.png,32.59010305,0.96217376,0.034848813
blur_r0p5_a0p2,0.5,0.2,r113402d4t.png,r113402d4t.png,25.46077275,0.9453266,0.0448917
blur_r0p5_a0p2,0.5,0.2,r1148801et.png,r1148801et.png,28.93785352,0.92713815,0.074352629
blur_r0p5_a0p2,0.5,0.2,r116825e2t.png,r116825e2t.png,28.14589824,0.98858565,0.009727923
blur_r0p5_a0p2,0.5,0.2,r11850456t.png,r11850456t.png,29.32853497,0.9788981,0.021112455
blur_r0p5_a0p2,0.5,0.2,r12133015t.png,r12133015t.png,30.82394395,0.97017986,0.062264398
blur_r0p5_a0p2,0.5,0.2,r125034a9t.png,r125034a9t.png,26.45030458,0.95929813,0.033596866
blur_r0p5_a0p2,0.5,0.2,r125442fat.png,r125442fat.png,23.94752378,0.97149056,0.019264709
blur_r0p5_a0p2,0.5,0.2,r127608abt.png,r127608abt.png,19.30660211,0.8086911,0.088243574
blur_r0p5_a0p2,0.5,0.2,r12946364t.png,r12946364t.png,23.12672319,0.96439,0.071622968
blur_r0p5_a0p2,0.5,0.2,r1301676dt.png,r1301676dt.png,17.83886504,0.80133146,0.151238456
blur_r0p5_a0p2,0.5,0.2,r13073518t.png,r13073518t.png,28.44217362,0.9633258,0.025533471
blur_r0p5_a0p2,0.5,0.2,r1372056ct.png,r1372056ct.png,23.06305935,0.90868884,0.115962572
blur_r0p5_a0p2,0.5,0.2,r13837601t.png,r13837601t.png,15.29553597,0.8498859,0.125891149
blur_r0p5_a0p2,0.5,0.2,r13907965t.png,r13907965t.png,21.65589539,0.96149474,0.032472365
blur_r0p5_a0p2,0.5,0.2,r13928401t.png,r13928401t.png,19.07369637,0.961265,0.028987102
blur_r0p5_a0p2,0.5,0.2,r141665bdt.png,r141665bdt.png,26.39099183,0.9627567,0.028601121
blur_r0p5_a0p2,0.5,0.2,r141669e5t.png,r141669e5t.png,23.15036711,0.73821527,0.222224832
blur_r0p5_a0p2,0.5,0.2,r1419078bt.png,r1419078bt.png,29.2583195,0.918119,0.050306823
blur_r0p5_a0p2,0.5,0.2,r142335f0t.png,r142335f0t.png,19.22560134,0.9307106,0.066861778
blur_r0p5_a0p2,0.5,0.2,r142787e2t.png,r142787e2t.png,27.89367939,0.9733358,0.017738586
blur_r0p5_a0p2,0.5,0.2,r14289905t.png,r14289905t.png,27.34287747,0.91417736,0.029250143
blur_r0p5_a0p2,0.5,0.2,r145215fft.png,r145215fft.png,30.14014833,0.98197955,0.033402175
blur_r0p5_a0p2,0.5,0.2,r145221d9t.png,r145221d9t.png,20.88032543,0.92413473,0.064958207
blur_r0p5_a0p2,0.5,0.2,r146771d7t.png,r146771d7t.png,25.5162179,0.9040025,0.044946212
blur_r0p5_a0p2,0.5,0.2,r150058a4t.png,r150058a4t.png,17.67813102,0.863764,0.113228619
blur_r0p5_a0p2,0.5,0.2,r15885978t.png,r15885978t.png,26.55564632,0.9313386,0.071978033
blur_r0p5_a0p2,0.5,0.2,r15919202t.png,r15919202t.png,21.35499406,0.97012,0.025504161
blur_r0p5_a0p2,0.5,0.2,r1602555bt.png,r1602555bt.png,22.77585049,0.94638246,0.060171656
blur_r0p5_a0p2,0.5,0.2,r163317d6t.png,r163317d6t.png,25.04578827,0.95775956,0.034717079
blur_r0p5_a0p2,0.5,0.2,r163967d4t.png,r163967d4t.png,24.60656413,0.95460266,0.027416235
blur_r0p5_a0p2,0.5,0.2,r16422663t.png,r16422663t.png,24.35484032,0.97749716,0.051708467
blur_r0p5_a0p2,0.5,0.2,r16509308t.png,r16509308t.png,19.16008531,0.9205505,0.067912556
blur_r0p5_a0p2,0.5,0.2,r165355c0t.png,r165355c0t.png,27.79862153,0.98213345,0.015645815
blur_r0p5_a0p2,0.5,0.2,r16654024t.png,r16654024t.png,23.25401326,0.89072824,0.043520153
blur_r0p5_a0p2,0.5,0.2,r1683028at.png,r1683028at.png,16.31137409,0.8204568,0.104183376
blur_r0p5_a0p2,0.5,0.2,r1694427et.png,r1694427et.png,12.70735884,0.85348195,0.139699146
blur_r0p5_a0p2,0.5,0.2,r170632f5t.png,r170632f5t.png,25.32339943,0.9223551,0.074635178
blur_r0p5_a0p2,0.5,0.2,r17217693t.png,r17217693t.png,25.01387062,0.8636413,0.061989784
blur_r0p5_a0p2,0.5,0.2,r181768b7t.png,r181768b7t.png,16.95180711,0.874465,0.069232233
blur_r0p5_a0p2,0.5,0.2,r1824034et.png,r1824034et.png,23.15303989,0.971577,0.038649857
blur_r0p5_a0p2,0.5,0.2,r185929e9t.png,r185929e9t.png,19.0472185,0.9132223,0.120659351
blur_r0p5_a0p2,0.5,0.2,r18791531t.png,r18791531t.png,23.51211992,0.908253,0.065651998
blur_r0p5_a0p2,0.5,0.2,r18798194t.png,r18798194t.png,24.57757463,0.96545887,0.032541662
blur_r0p5_a0p2,0.5,0.2,r1889220ft.png,r1889220ft.png,23.75895034,0.90900373,0.061120164
blur_r0p5_a0p2,0.5,0.2,r18990432t.png,r18990432t.png,27.70761155,0.9668474,0.017955281
blur_r0p5_a0p2,0.5,0.2,r1904147dt.png,r1904147dt.png,24.34735591,0.971484,0.032234538
blur_r0p5_a0p2,0.5,0.2,r191488c6t.png,r191488c6t.png,26.7519279,0.9914803,0.012606391
blur_r0p5_a0p2,0.5,0.2,r1915909et.png,r1915909et.png,29.4118584,0.9705482,0.051017281
blur_r0p5_a0p2,0.5,0.2,r19183258t.png,r19183258t.png,17.90643988,0.96122265,0.052139431
blur_r0p5_a0p2,0.5,0.2,r197770adt.png,r197770adt.png,26.42789359,0.85604817,0.198546022
blur_r0p8_a0p2,0.8,0.2,r00816405t.png,r00816405t.png,22.6928492,0.94974333,0.044951927
blur_r0p8_a0p2,0.8,0.2,r00869422t.png,r00869422t.png,19.28135117,0.8347152,0.070178926
blur_r0p8_a0p2,0.8,0.2,r00879054t.png,r00879054t.png,22.9153278,0.928607,0.05408974
blur_r0p8_a0p2,0.8,0.2,r01058910t.png,r01058910t.png,12.84704258,0.86713964,0.103241257
blur_r0p8_a0p2,0.8,0.2,r01170470t.png,r01170470t.png,30.02740173,0.97493815,0.029765546
blur_r0p8_a0p2,0.8,0.2,r01474187t.png,r01474187t.png,22.61334682,0.9540365,0.035812363
blur_r0p8_a0p2,0.8,0.2,r0150031ft.png,r0150031ft.png,23.72771693,0.9691105,0.028177671
blur_r0p8_a0p2,0.8,0.2,r01559391t.png,r01559391t.png,17.40567106,0.76305294,0.149308503
blur_r0p8_a0p2,0.8,0.2,r02189767t.png,r02189767t.png,27.40080542,0.909066,0.066098273
blur_r0p8_a0p2,0.8,0.2,r02354285t.png,r02354285t.png,28.69985963,0.9021099,0.074297495
blur_r0p8_a0p2,0.8,0.2,r02508493t.png,r02508493t.png,25.5653927,0.96369797,0.04124248
blur_r0p8_a0p2,0.8,0.2,r0287344at.png,r0287344at.png,33.32478587,0.9857699,0.015521225
blur_r0p8_a0p2,0.8,0.2,r02897203t.png,r02897203t.png,30.41668858,0.97855705,0.0206472
blur_r0p8_a0p2,0.8,0.2,r03193652t.png,r03193652t.png,19.39584921,0.87565875,0.077517301
blur_r0p8_a0p2,0.8,0.2,r0341853dt.png,r0341853dt.png,21.30406282,0.9396747,0.114457414
blur_r0p8_a0p2,0.8,0.2,r0372042dt.png,r0372042dt.png,27.1471164,0.9377516,0.058677189
blur_r0p8_a0p2,0.8,0.2,r04317453t.png,r04317453t.png,24.8002367,0.9637,0.051287521
blur_r0p8_a0p2,0.8,0.2,r0465565ct.png,r0465565ct.png,30.69891066,0.9734399,0.033075616
blur_r0p8_a0p2,0.8,0.2,r05243256t.png,r05243256t.png,21.31154167,0.9180916,0.045265213
blur_r0p8_a0p2,0.8,0.2,r05772356t.png,r05772356t.png,22.17942523,0.97037107,0.048528038
blur_r0p8_a0p2,0.8,0.2,r05839451t.png,r05839451t.png,32.48111628,0.9775693,0.012524321
blur_r0p8_a0p2,0.8,0.2,r0589558at.png,r0589558at.png,27.66128478,0.9594784,0.052829407
blur_r0p8_a0p2,0.8,0.2,r0603031et.png,r0603031et.png,24.54891335,0.9003012,0.07624799
blur_r0p8_a0p2,0.8,0.2,r068812d7t.png,r068812d7t.png,21.84416013,0.9069285,0.059943952
blur_r0p8_a0p2,0.8,0.2,r0703243bt.png,r0703243bt.png,31.05863732,0.9847455,0.019624969
blur_r0p8_a0p2,0.8,0.2,r0708431at.png,r0708431at.png,32.04779287,0.9481826,0.020812344
blur_r0p8_a0p2,0.8,0.2,r072421a1t.png,r072421a1t.png,22.16367318,0.9309385,0.095786124
blur_r0p8_a0p2,0.8,0.2,r072649fdt.png,r072649fdt.png,28.19226508,0.96357244,0.030437393
blur_r0p8_a0p2,0.8,0.2,r07598392t.png,r07598392t.png,24.7301017,0.9287734,0.06966047
blur_r0p8_a0p2,0.8,0.2,r0773471dt.png,r0773471dt.png,25.45633788,0.9427357,0.05326046
blur_r0p8_a0p2,0.8,0.2,r077507cat.png,r077507cat.png,19.48040499,0.8885763,0.073175952
blur_r0p8_a0p2,0.8,0.2,r08079988t.png,r08079988t.png,23.03312453,0.93240184,0.056116384
blur_r0p8_a0p2,0.8,0.2,r0809811bt.png,r0809811bt.png,29.0724071,0.9038723,0.13251552
blur_r0p8_a0p2,0.8,0.2,r082626aft.png,r082626aft.png,19.9787325,0.8049663,0.13047348
blur_r0p8_a0p2,0.8,0.2,r084889d5t.png,r084889d5t.png,17.89054716,0.8970038,0.109143451
blur_r0p8_a0p2,0.8,0.2,r08788547t.png,r08788547t.png,23.5702211,0.93025285,0.050355524
blur_r0p8_a0p2,0.8,0.2,r08873591t.png,r08873591t.png,30.87887876,0.9401493,0.052867983
blur_r0p8_a0p2,0.8,0.2,r08996953t.png,r08996953t.png,29.47476363,0.988195,0.028127322
blur_r0p8_a0p2,0.8,0.2,r0905697bt.png,r0905697bt.png,22.15543573,0.9541259,0.060261041
blur_r0p8_a0p2,0.8,0.2,r09245347t.png,r09245347t.png,27.67586869,0.89145947,0.076760411
blur_r0p8_a0p2,0.8,0.2,r09445479t.png,r09445479t.png,26.64295719,0.97714853,0.026738694
blur_r0p8_a0p2,0.8,0.2,r09670876t.png,r09670876t.png,33.39493338,0.98894364,0.009243777
blur_r0p8_a0p2,0.8,0.2,r096982ddt.png,r096982ddt.png,22.76897619,0.966638,0.038788788
blur_r0p8_a0p2,0.8,0.2,r097088c1t.png,r097088c1t.png,30.72898144,0.96249026,0.033370081
blur_r0p8_a0p2,0.8,0.2,r097555c4t.png,r097555c4t.png,23.30511419,0.97043484,0.025471477
blur_r0p8_a0p2,0.8,0.2,r104153eat.png,r104153eat.png,17.54033997,0.9379429,0.06675557
blur_r0p8_a0p2,0.8,0.2,r107730b5t.png,r107730b5t.png,30.62034536,0.96789646,0.034614738
blur_r0p8_a0p2,0.8,0.2,r108301e3t.png,r108301e3t.png,30.8131182,0.9590552,0.042858992
blur_r0p8_a0p2,0.8,0.2,r10893508t.png,r10893508t.png,24.73214376,0.9175914,0.077414349
blur_r0p8_a0p2,0.8,0.2,r10940798t.png,r10940798t.png,32.50050412,0.9612875,0.039164562
blur_r0p8_a0p2,0.8,0.2,r113402d4t.png,r113402d4t.png,25.37949736,0.94301146,0.047178704
blur_r0p8_a0p2,0.8,0.2,r1148801et.png,r1148801et.png,28.91455341,0.9262681,0.077378906
blur_r0p8_a0p2,0.8,0.2,r116825e2t.png,r116825e2t.png,28.0982538,0.9864339,0.013573339
blur_r0p8_a0p2,0.8,0.2,r11850456t.png,r11850456t.png,29.07743482,0.9749572,0.026445901
blur_r0p8_a0p2,0.8,0.2,r12133015t.png,r12133015t.png,30.56278514,0.96761566,0.067233577
blur_r0p8_a0p2,0.8,0.2,r125034a9t.png,r125034a9t.png,26.48942071,0.9578436,0.039767642
blur_r0p8_a0p2,0.8,0.2,r125442fat.png,r125442fat.png,23.95850982,0.9698098,0.023588557
blur_r0p8_a0p2,0.8,0.2,r127608abt.png,r127608abt.png,19.32400055,0.810461,0.094194517
blur_r0p8_a0p2,0.8,0.2,r12946364t.png,r12946364t.png,23.15700024,0.96482044,0.069969893
blur_r0p8_a0p2,0.8,0.2,r1301676dt.png,r1301676dt.png,17.81030164,0.79916716,0.15487586
blur_r0p8_a0p2,0.8,0.2,r13073518t.png,r13073518t.png,28.3065712,0.96024257,0.029170211
blur_r0p8_a0p2,0.8,0.2,r1372056ct.png,r1372056ct.png,23.03932522,0.9081418,0.119890571
blur_r0p8_a0p2,0.8,0.2,r13837601t.png,r13837601t.png,15.31446328,0.85006475,0.130696371
blur_r0p8_a0p2,0.8,0.2,r13907965t.png,r13907965t.png,21.61996059,0.95959044,0.034736715
blur_r0p8_a0p2,0.8,0.2,r13928401t.png,r13928401t.png,19.10623363,0.95928746,0.031460583
blur_r0p8_a0p2,0.8,0.2,r141665bdt.png,r141665bdt.png,26.30214176,0.95909363,0.031964358
blur_r0p8_a0p2,0.8,0.2,r141669e5t.png,r141669e5t.png,23.15768684,0.73638964,0.226539746
blur_r0p8_a0p2,0.8,0.2,r1419078bt.png,r1419078bt.png,29.22929192,0.9164069,0.055077787
blur_r0p8_a0p2,0.8,0.2,r142335f0t.png,r142335f0t.png,19.18401417,0.9303806,0.068316102
blur_r0p8_a0p2,0.8,0.2,r142787e2t.png,r142787e2t.png,27.95115452,0.9727135,0.02014132
blur_r0p8_a0p2,0.8,0.2,r14289905t.png,r14289905t.png,27.22136522,0.9113624,0.032651186
blur_r0p8_a0p2,0.8,0.2,r145215fft.png,r145215fft.png,30.51530816,0.9834876,0.045323007
blur_r0p8_a0p2,0.8,0.2,r145221d9t.png,r145221d9t.png,20.87125999,0.922235,0.074386701
blur_r0p8_a0p2,0.8,0.2,r146771d7t.png,r146771d7t.png,25.44142703,0.90242714,0.046668597
blur_r0p8_a0p2,0.8,0.2,r150058a4t.png,r150058a4t.png,17.68749197,0.87050396,0.112075105
blur_r0p8_a0p2,0.8,0.2,r15885978t.png,r15885978t.png,26.63649937,0.9325941,0.075095102
blur_r0p8_a0p2,0.8,0.2,r15919202t.png,r15919202t.png,21.3849448,0.96888345,0.030678283
